Perro,"El perro es un mamífero doméstico leal y versátil conocido por su relación cercana con los humanos."
Gato,"El gato es un mamífero doméstico independiente y ágil conocido por ser un cazador natural."
Elefante,"El elefante es el animal terrestre más grande conocido por su inteligencia y memoria."
Águila,"El águila es un ave rapaz famosa por su aguda visión y fuerza símbolo de poder."
Delfín,"El delfín es un mamífero marino altamente inteligente y social conocido por su comportamiento juguetón."
Tiburón,"El tiburón es un pez depredador con un cuerpo aerodinámico y dientes afilados temido en el océano."
Caballo,"El caballo es un mamífero conocido por su velocidad resistencia y relación con los humanos."
León,"El león es un gran felino conocido como el "rey de la selva" símbolo de fuerza y valor."
Oso,"El oso es un mamífero grande y robusto conocido por su dieta variada y su hibernación."
Pingüino,"El pingüino es un ave no voladora adaptada a la vida acuática y conocida por su habilidad para nadar."
Serpiente,"La serpiente es un reptil sin extremidades conocida por su deslizamiento y en algunas especies veneno."
Canguro,"El canguro es un marsupial australiano conocido por su gran tamaño y capacidad para saltar."
Mono,"El mono es un primate ágil e inteligente conocido por su comportamiento social y habilidades para trepar."
Jirafa,"La jirafa es el animal terrestre más alto conocida por su largo cuello y manchas distintivas."
Oveja,"La oveja es un mamífero domesticado criado por su lana carne y leche dócil y sociable."
Tortuga,"La tortuga es un reptil conocido por su caparazón duro y su lenta velocidad tanto terrestre como acuática."
Cocodrilo,"El cocodrilo es un reptil grande y peligroso con una piel escamosa y mandíbulas poderosas."
Ardilla,"La ardilla es un pequeño roedor ágil conocido por trepar árboles y almacenar nueces."
Zorro,"El zorro es un mamífero astuto y adaptable conocido por su agilidad y pelaje espeso."
Búho,"El búho es un ave nocturna conocida por su visión y audición excepcionales símbolo de sabiduría."
Ratón,"El ratón es un pequeño roedor conocido por su rápida reproducción y naturaleza escurridiza."
Murciélago,"El murciélago es un mamífero volador conocido por su ecolocación para navegar y cazar en la oscuridad."
Conejo,"El conejo es un mamífero pequeño y herbívoro conocido por su rapidez y capacidad para excavar madrigueras."
Cabra,"La cabra es un mamífero domesticado criado por su leche carne y pelaje ágil y adaptable."
Tigre,"El tigre es el felino más grande conocido por sus rayas distintivas y su fuerza como cazador."
Lobo,"El lobo es un depredador social conocido por vivir en manadas símbolo de lealtad."
Pato,"El pato es un ave acuática conocida por su habilidad para nadar y volar común en cuerpos de agua dulce."
Flamenco,"El flamenco es un ave rosada conocida por su habilidad para pararse en una pierna y habitar en lagunas."
Cebra,"La cebra es un mamífero rayado conocido por su comportamiento en manada y velocidad al correr."
Koala,"El koala es un marsupial australiano conocido por su vida en árboles y dieta de eucalipto."
Mapache,"El mapache es un mamífero omnívoro conocido por su "máscara" facial y habilidades para abrir contenedores."
Rinoceronte,"El rinoceronte es un mamífero grande y robusto con un cuerno distintivo y piel gruesa."
Hipopótamo,"El hipopótamo es un mamífero semiacuático masivo y territorial que vive en ríos y lagos."
Camello,"El camello es un mamífero desértico con jorobas que almacenan grasa para sobrevivir en climas áridos."
Panda,"El panda es un mamífero herbívoro de pelaje blanco y negro, conocido por su dieta de bambú."
Llama,"La llama es un mamífero doméstico de América del Sur, usado para transportar cargas en montañas."
Oso Polar,"El oso polar es un carnívoro ártico conocido por su pelaje blanco y habilidad para cazar focas."
Cangrejo,"El cangrejo es un crustáceo con caparazón duro y grandes pinzas, presente en agua y tierra."
Gorila,"El gorila es un primate terrestre fuerte, que vive en grupos y es mayormente herbívoro."
Orangután,"El orangután es un primate inteligente y solitario que vive en los bosques de Borneo y Sumatra."
Coyote,"El coyote es un mamífero carnívoro astuto y adaptable, común en América del Norte."
